K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_1,uniform,0.0001,0,200,0.0,0.0
Kpct_1,random,0.0001,0,400,0.0,0.0
Kpct_1,uncertain,0.0001,0,400,0.0,0.0
Kpct_1,uniform,0.0001,0,400,0.0,0.0
Kpct_1,random,0.0001,0,800,0.0,0.0
Kpct_1,uncertain,0.0001,0,800,0.0,0.0
Kpct_1,uniform,0.0001,0,800,0.0,0.0
Kpct_1,random,0.0001,5,200,0.0,0.0
Kpct_1,uncertain,0.0001,5,200,0.0,0.0
Kpct_1,uniform,0.0001,5,200,0.0,0.0
Kpct_1,random,0.0001,5,400,0.0,0.0
Kpct_1,uncertain,0.0001,5,400,0.0,0.0
Kpct_1,uniform,0.0001,5,400,0.0,0.0
Kpct_1,random,0.0001,5,800,0.0,0.0
Kpct_1,uncertain,0.0001,5,800,0.0,0.0
Kpct_1,uniform,0.0001,5,800,0.0,0.0
Kpct_1,random,0.0001,10,200,0.0,0.0
Kpct_1,uncertain,0.0001,10,200,0.0,0.0
Kpct_1,uniform,0.0001,10,200,0.0,0.0
Kpct_1,random,0.0001,10,400,0.0,0.0
Kpct_1,uncertain,0.0001,10,400,0.0,0.0
Kpct_1,uniform,0.0001,10,400,0.0,0.0
Kpct_1,random,0.0001,10,800,0.0,0.0
Kpct_1,uncertain,0.0001,10,800,0.0,0.0
Kpct_1,uniform,0.0001,10,800,0.0,0.0
Kpct_1,random,1e-05,0,200,0.0,0.0
Kpct_1,uncertain,1e-05,0,200,0.0,0.0
Kpct_1,uniform,1e-05,0,200,0.0,0.0
Kpct_1,random,1e-05,0,400,0.0,0.0
Kpct_1,uncertain,1e-05,0,400,0.0,0.0
Kpct_1,uniform,1e-05,0,400,0.0,0.0
Kpct_1,random,1e-05,0,800,0.0,0.0
Kpct_1,uncertain,1e-05,0,800,0.0,0.0
Kpct_1,uniform,1e-05,0,800,0.0,0.0
Kpct_1,random,1e-05,5,200,0.0,0.0
Kpct_1,uncertain,1e-05,5,200,0.0,0.0
Kpct_1,uniform,1e-05,5,200,0.0,0.0
Kpct_1,random,1e-05,5,400,0.0,0.0
Kpct_1,uncertain,1e-05,5,400,0.0,0.0
Kpct_1,uniform,1e-05,5,400,0.0,0.0
Kpct_1,random,1e-05,5,800,0.0,0.0
Kpct_1,uncertain,1e-05,5,800,0.0,0.0
Kpct_1,uniform,1e-05,5,800,0.0,0.0
Kpct_1,random,1e-05,10,200,0.0,0.0
Kpct_1,uncertain,1e-05,10,200,0.0,0.0
Kpct_1,uniform,1e-05,10,200,0.0,0.0
Kpct_1,random,1e-05,10,400,0.0,0.0
Kpct_1,uncertain,1e-05,10,400,0.0,0.0
Kpct_1,uniform,1e-05,10,400,0.0,0.0
Kpct_1,random,1e-05,10,800,0.0,0.0
Kpct_1,uncertain,1e-05,10,800,0.0,0.0
Kpct_1,uniform,1e-05,10,800,0.0,0.0
Kpct_10,random,0.001,0,200,0.0,0.0
Kpct_10,uncertain,0.001,0,200,0.0,0.0
Kpct_10,uniform,0.001,0,200,0.0,0.0
Kpct_10,random,0.001,0,400,0.0,0.0
Kpct_10,uncertain,0.001,0,400,0.0,0.0
Kpct_10,uniform,0.001,0,400,0.0,0.0
Kpct_10,random,0.001,0,800,0.0,0.0
Kpct_10,uncertain,0.001,0,800,0.0,0.0
Kpct_10,uniform,0.001,0,800,0.0,0.0
Kpct_10,random,0.001,5,200,0.0,0.0
Kpct_10,uncertain,0.001,5,200,0.0,0.0
Kpct_10,uniform,0.001,5,200,0.0,0.0
Kpct_10,random,0.001,5,400,0.0,0.0
Kpct_10,uncertain,0.001,5,400,0.0,0.0
Kpct_10,uniform,0.001,5,400,0.0,0.0
Kpct_10,random,0.001,5,800,0.0,0.0
Kpct_10,uncertain,0.001,5,800,0.0,0.0
Kpct_10,uniform,0.001,5,800,0.0,0.0
Kpct_10,random,0.001,10,200,0.0,0.0
Kpct_10,uncertain,0.001,10,200,0.0,0.0
Kpct_10,uniform,0.001,10,200,0.0,0.0
Kpct_10,random,0.001,10,400,0.0,0.0
Kpct_10,uncertain,0.001,10,400,0.0,0.0
Kpct_10,uniform,0.001,10,400,0.0,0.0
Kpct_10,random,0.001,10,800,0.0,0.0
Kpct_10,uncertain,0.001,10,800,0.0,0.0
Kpct_10,uniform,0.001,10,800,0.0,0.0
Kpct_10,random,0.0001,0,200,0.0,0.0
Kpct_10,uncertain,0.0001,0,200,0.0,0.0
Kpct_10,uniform,0.0001,0,200,0.0,0.0
Kpct_10,random,0.0001,0,400,0.0,0.0
Kpct_10,uncertain,0.0001,0,400,0.0,0.0
Kpct_10,uniform,0.0001,0,400,0.0,0.0
Kpct_10,random,0.0001,0,800,0.0,0.0
Kpct_10,uncertain,0.0001,0,800,0.0,0.0
Kpct_10,uniform,0.0001,0,800,0.0,0.0
Kpct_10,random,0.0001,5,200,0.0,0.0
Kpct_10,uncertain,0.0001,5,200,0.0,0.0
Kpct_10,uniform,0.0001,5,200,0.0,0.0
Kpct_10,random,0.0001,5,400,0.0,0.0
Kpct_10,uncertain,0.0001,5,400,0.0,0.0
Kpct_10,uniform,0.0001,5,400,0.0,0.0
Kpct_10,random,0.0001,5,800,0.0,0.0
Kpct_10,uncertain,0.0001,5,800,0.0,0.0
Kpct_10,uniform,0.0001,5,800,0.0,0.0
Kpct_10,random,0.0001,10,200,0.0,0.0
Kpct_10,uncertain,0.0001,10,200,0.0,0.0
Kpct_10,uniform,0.0001,10,200,0.0,0.0
Kpct_10,random,0.0001,10,400,0.0,0.0
Kpct_10,uncertain,0.0001,10,400,0.0,0.0
Kpct_10,uniform,0.0001,10,400,0.0,0.0
Kpct_10,random,0.0001,10,800,0.0,0.0
Kpct_10,uncertain,0.0001,10,800,0.0,0.0
Kpct_10,uniform,0.0001,10,800,0.0,0.0
Kpct_10,random,1e-05,0,200,0.0,0.0
Kpct_10,uncertain,1e-05,0,200,0.0,0.0
Kpct_10,uniform,1e-05,0,200,0.0,0.0
Kpct_10,random,1e-05,0,400,0.0,0.0
Kpct_10,uncertain,1e-05,0,400,0.0,0.0
Kpct_10,uniform,1e-05,0,400,0.0,0.0
Kpct_10,random,1e-05,0,800,0.0,0.0
Kpct_10,uncertain,1e-05,0,800,0.0,0.0
Kpct_10,uniform,1e-05,0,800,0.0,0.0
Kpct_10,random,1e-05,5,200,0.0,0.0
Kpct_10,uncertain,1e-05,5,200,0.0,0.0
Kpct_10,uniform,1e-05,5,200,0.0,0.0
Kpct_10,random,1e-05,5,400,0.0,0.0
Kpct_10,uncertain,1e-05,5,400,0.0,0.0
Kpct_10,uniform,1e-05,5,400,0.0,0.0
Kpct_10,random,1e-05,5,800,0.0,0.0
Kpct_10,uncertain,1e-05,5,800,0.0,0.0
Kpct_10,uniform,1e-05,5,800,0.0,0.0
Kpct_10,random,1e-05,10,200,0.0,0.0
Kpct_10,uncertain,1e-05,10,200,0.0,0.0
Kpct_10,uniform,1e-05,10,200,0.0,0.0
Kpct_10,random,1e-05,10,400,0.0,0.0
Kpct_10,uncertain,1e-05,10,400,0.0,0.0
Kpct_10,uniform,1e-05,10,400,0.0,0.0
Kpct_10,random,1e-05,10,800,0.0,0.0
Kpct_10,uncertain,1e-05,10,800,0.0,0.0
Kpct_10,uniform,1e-05,10,800,0.0,0.0
Kpct_20,random,0.001,0,200,0.0,0.0
Kpct_20,uncertain,0.001,0,200,0.0,0.0
Kpct_20,uniform,0.001,0,200,0.0,0.0
Kpct_20,random,0.001,0,400,0.0,0.0
Kpct_20,uncertain,0.001,0,400,0.0,0.0
Kpct_20,uniform,0.001,0,400,0.0,0.0
Kpct_20,random,0.001,0,800,0.0,0.0
Kpct_20,uncertain,0.001,0,800,0.0,0.0
Kpct_20,uniform,0.001,0,800,0.0,0.0
Kpct_20,random,0.001,5,200,0.0,0.0
Kpct_20,uncertain,0.001,5,200,0.0,0.0
Kpct_20,uniform,0.001,5,200,0.0,0.0
Kpct_20,random,0.001,5,400,0.0,0.0
Kpct_20,uncertain,0.001,5,400,0.0,0.0
Kpct_20,uniform,0.001,5,400,0.0,0.0
Kpct_20,random,0.001,5,800,0.0,0.0
Kpct_20,uncertain,0.001,5,800,0.0,0.0
Kpct_20,uniform,0.001,5,800,0.0,0.0
Kpct_20,random,0.001,10,200,0.0,0.0
Kpct_20,uncertain,0.001,10,200,0.0,0.0
Kpct_20,uniform,0.001,10,200,0.0,0.0
Kpct_20,random,0.001,10,400,0.0,0.0
Kpct_20,uncertain,0.001,10,400,0.0,0.0
Kpct_20,uniform,0.001,10,400,0.0,0.0
Kpct_20,random,0.001,10,800,0.0,0.0
Kpct_20,uncertain,0.001,10,800,0.0,0.0
Kpct_20,uniform,0.001,10,800,0.0,0.0
Kpct_20,random,0.0001,0,200,0.0,0.0
Kpct_20,uncertain,0.0001,0,200,0.0,0.0
Kpct_20,uniform,0.0001,0,200,0.0,0.0
Kpct_20,random,0.0001,0,400,0.0,0.0
Kpct_20,uncertain,0.0001,0,400,0.0,0.0
Kpct_20,uniform,0.0001,0,400,0.0,0.0
Kpct_20,random,0.0001,0,800,0.0,0.0
Kpct_20,uncertain,0.0001,0,800,0.0,0.0
Kpct_20,uniform,0.0001,0,800,0.0,0.0
Kpct_20,random,0.0001,5,200,0.0,0.0
Kpct_20,uncertain,0.0001,5,200,0.0,0.0
Kpct_20,uniform,0.0001,5,200,0.0,0.0
Kpct_20,random,0.0001,5,400,0.0,0.0
Kpct_20,uncertain,0.0001,5,400,0.0,0.0
Kpct_20,uniform,0.0001,5,400,0.0,0.0
Kpct_20,random,0.0001,5,800,0.0,0.0
Kpct_20,uncertain,0.0001,5,800,0.0,0.0
Kpct_20,uniform,0.0001,5,800,0.0,0.0
Kpct_20,random,0.0001,10,200,0.0,0.0
Kpct_20,uncertain,0.0001,10,200,0.0,0.0
Kpct_20,uniform,0.0001,10,200,0.0,0.0
Kpct_20,random,0.0001,10,400,0.0,0.0
Kpct_20,uncertain,0.0001,10,400,0.0,0.0
Kpct_20,uniform,0.0001,10,400,0.0,0.0
Kpct_20,random,0.0001,10,800,0.0,0.0
Kpct_20,uncertain,0.0001,10,800,0.0,0.0
Kpct_20,uniform,0.0001,10,800,0.0,0.0
Kpct_20,random,1e-05,0,200,0.0,0.0
Kpct_20,uncertain,1e-05,0,200,0.0,0.0
Kpct_20,uniform,1e-05,0,200,0.0,0.0
Kpct_20,random,1e-05,0,400,0.0,0.0
Kpct_20,uncertain,1e-05,0,400,0.0,0.0
Kpct_20,uniform,1e-05,0,400,0.0,0.0
Kpct_20,random,1e-05,0,800,0.0,0.0
Kpct_20,uncertain,1e-05,0,800,0.0,0.0
Kpct_20,uniform,1e-05,0,800,0.0,0.0
Kpct_20,random,1e-05,5,200,0.0,0.0
Kpct_20,uncertain,1e-05,5,200,0.0,0.0
Kpct_20,uniform,1e-05,5,200,0.0,0.0
Kpct_20,random,1e-05,5,400,0.0,0.0
Kpct_20,uncertain,1e-05,5,400,0.0,0.0
Kpct_20,uniform,1e-05,5,400,0.0,0.0
Kpct_20,random,1e-05,5,800,0.0,0.0
Kpct_20,uncertain,1e-05,5,800,0.0,0.0
Kpct_20,uniform,1e-05,5,800,0.0,0.0
Kpct_20,random,1e-05,10,200,0.0,0.0
Kpct_20,uncertain,1e-05,10,200,0.0,0.0
Kpct_20,uniform,1e-05,10,200,0.0,0.0
Kpct_20,random,1e-05,10,400,0.0,0.0
Kpct_20,uncertain,1e-05,10,400,0.0,0.0
Kpct_20,uniform,1e-05,10,400,0.0,0.0
Kpct_20,random,1e-05,10,800,0.0,0.0
Kpct_20,uncertain,1e-05,10,800,0.0,0.0
Kpct_20,uniform,1e-05,10,800,0.0,0.0
Kabs_1,random,0.001,0,200,0.0,0.0
Kabs_1,uncertain,0.001,0,200,0.0,0.0
Kabs_1,uniform,0.001,0,200,0.0,0.0
Kabs_1,random,0.001,0,400,0.0,0.0
Kabs_1,uncertain,0.001,0,400,0.0,0.0
Kabs_1,uniform,0.001,0,400,0.0,0.0
Kabs_1,random,0.001,0,800,0.0,0.0
Kabs_1,uncertain,0.001,0,800,0.0,0.0
Kabs_1,uniform,0.001,0,800,0.0,0.0
Kabs_1,random,0.001,5,200,0.0,0.0
Kabs_1,uncertain,0.001,5,200,0.0,0.0
Kabs_1,uniform,0.001,5,200,0.0,0.0
Kabs_1,random,0.001,5,400,0.0,0.0
Kabs_1,uncertain,0.001,5,400,0.0,0.0
Kabs_1,uniform,0.001,5,400,0.0,0.0
Kabs_1,random,0.001,5,800,0.0,0.0
Kabs_1,uncertain,0.001,5,800,0.0,0.0
Kabs_1,uniform,0.001,5,800,0.0,0.0
Kabs_1,random,0.001,10,200,0.0,0.0
Kabs_1,uncertain,0.001,10,200,0.0,0.0
Kabs_1,uniform,0.001,10,200,0.0,0.0
Kabs_1,random,0.001,10,400,0.0,0.0
Kabs_1,uncertain,0.001,10,400,0.0,0.0
Kabs_1,uniform,0.001,10,400,0.0,0.0
Kabs_1,random,0.001,10,800,0.0,0.0
Kabs_1,uncertain,0.001,10,800,0.0,0.0
Kabs_1,uniform,0.001,10,800,0.0,0.0
Kabs_1,random,0.0001,0,200,0.0,0.0
Kabs_1,uncertain,0.0001,0,200,0.0,0.0
Kabs_1,uniform,0.0001,0,200,0.0,0.0
Kabs_1,random,0.0001,0,400,0.0,0.0
Kabs_1,uncertain,0.0001,0,400,0.0,0.0
Kabs_1,uniform,0.0001,0,400,0.0,0.0
Kabs_1,random,0.0001,0,800,0.0,0.0
Kabs_1,uncertain,0.0001,0,800,0.0,0.0
Kabs_1,uniform,0.0001,0,800,0.0,0.0
Kabs_1,random,0.0001,5,200,0.0,0.0
Kabs_1,uncertain,0.0001,5,200,0.0,0.0
Kabs_1,uniform,0.0001,5,200,0.0,0.0
Kabs_1,random,0.0001,5,400,0.0,0.0
Kabs_1,uncertain,0.0001,5,400,0.0,0.0
Kabs_1,uniform,0.0001,5,400,0.0,0.0
Kabs_1,random,0.0001,5,800,0.0,0.0
Kabs_1,uncertain,0.0001,5,800,0.0,0.0
Kabs_1,uniform,0.0001,5,800,0.0,0.0
Kabs_1,random,0.0001,10,200,0.0,0.0
Kabs_1,uncertain,0.0001,10,200,0.0,0.0
Kabs_1,uniform,0.0001,10,200,0.0,0.0
Kabs_1,random,0.0001,10,400,0.0,0.0
Kabs_1,uncertain,0.0001,10,400,0.0,0.0
Kabs_1,uniform,0.0001,10,400,0.0,0.0
Kabs_1,random,0.0001,10,800,0.0,0.0
Kabs_1,uncertain,0.0001,10,800,0.0,0.0
Kabs_1,uniform,0.0001,10,800,0.0,0.0
Kabs_1,random,1e-05,0,200,0.0,0.0
Kabs_1,uncertain,1e-05,0,200,0.0,0.0
Kabs_1,uniform,1e-05,0,200,0.0,0.0
Kabs_1,random,1e-05,0,400,0.0,0.0
Kabs_1,uncertain,1e-05,0,400,0.0,0.0
Kabs_1,uniform,1e-05,0,400,0.0,0.0
Kabs_1,random,1e-05,0,800,0.0,0.0
Kabs_1,uncertain,1e-05,0,800,0.0,0.0
Kabs_1,uniform,1e-05,0,800,0.0,0.0
Kabs_1,random,1e-05,5,200,0.0,0.0
Kabs_1,uncertain,1e-05,5,200,0.0,0.0
Kabs_1,uniform,1e-05,5,200,0.0,0.0
Kabs_1,random,1e-05,5,400,0.0,0.0
Kabs_1,uncertain,1e-05,5,400,0.0,0.0
Kabs_1,uniform,1e-05,5,400,0.0,0.0
Kabs_1,random,1e-05,5,800,0.0,0.0
Kabs_1,uncertain,1e-05,5,800,0.0,0.0
Kabs_1,uniform,1e-05,5,800,0.0,0.0
Kabs_1,random,1e-05,10,200,0.0,0.0
Kabs_1,uncertain,1e-05,10,200,0.0,0.0
Kabs_1,uniform,1e-05,10,200,0.0,0.0
Kabs_1,random,1e-05,10,400,0.0,0.0
Kabs_1,uncertain,1e-05,10,400,0.0,0.0
Kabs_1,uniform,1e-05,10,400,0.0,0.0
Kabs_1,random,1e-05,10,800,0.0,0.0
Kabs_1,uncertain,1e-05,10,800,0.0,0.0
Kabs_1,uniform,1e-05,10,800,0.0,0.0
Kabs_10,random,0.001,0,200,0.0,0.0
Kabs_10,uncertain,0.001,0,200,0.0,0.0
Kabs_10,uniform,0.001,0,200,0.0,0.0
Kabs_10,random,0.001,0,400,0.0,0.0
Kabs_10,uncertain,0.001,0,400,0.0,0.0
Kabs_10,uniform,0.001,0,400,0.0,0.0
Kabs_10,random,0.001,0,800,0.0,0.0
Kabs_10,uncertain,0.001,0,800,0.0,0.0
Kabs_10,uniform,0.001,0,800,0.0,0.0
Kabs_10,random,0.001,5,200,0.0,0.0
Kabs_10,uncertain,0.001,5,200,0.0,0.0
Kabs_10,uniform,0.001,5,200,0.0,0.0
Kabs_10,random,0.001,5,400,0.0,0.0
Kabs_10,uncertain,0.001,5,400,0.0,0.0
Kabs_10,uniform,0.001,5,400,0.0,0.0
Kabs_10,random,0.001,5,800,0.0,0.0
Kabs_10,uncertain,0.001,5,800,0.0,0.0
Kabs_10,uniform,0.001,5,800,0.0,0.0
Kabs_10,random,0.001,10,200,0.0,0.0
Kabs_10,uncertain,0.001,10,200,0.0,0.0
Kabs_10,uniform,0.001,10,200,0.0,0.0
Kabs_10,random,0.001,10,400,0.0,0.0
Kabs_10,uncertain,0.001,10,400,0.0,0.0
Kabs_10,uniform,0.001,10,400,0.0,0.0
Kabs_10,random,0.001,10,800,0.0,0.0
Kabs_10,uncertain,0.001,10,800,0.0,0.0
Kabs_10,uniform,0.001,10,800,0.0,0.0
Kabs_10,random,0.0001,0,200,0.0,0.0
Kabs_10,uncertain,0.0001,0,200,0.0,0.0
Kabs_10,uniform,0.0001,0,200,0.0,0.0
Kabs_10,random,0.0001,0,400,0.0,0.0
Kabs_10,uncertain,0.0001,0,400,0.0,0.0
Kabs_10,uniform,0.0001,0,400,0.0,0.0
Kabs_10,random,0.0001,0,800,0.0,0.0
Kabs_10,uncertain,0.0001,0,800,0.0,0.0
Kabs_10,uniform,0.0001,0,800,0.0,0.0
Kabs_10,random,0.0001,5,200,0.0,0.0
Kabs_10,uncertain,0.0001,5,200,0.0,0.0
Kabs_10,uniform,0.0001,5,200,0.0,0.0
Kabs_10,random,0.0001,5,400,0.0,0.0
Kabs_10,uncertain,0.0001,5,400,0.0,0.0
Kabs_10,uniform,0.0001,5,400,0.0,0.0
Kabs_10,random,0.0001,5,800,0.0,0.0
Kabs_10,uncertain,0.0001,5,800,0.0,0.0
Kabs_10,uniform,0.0001,5,800,0.0,0.0
Kabs_10,random,0.0001,10,200,0.0,0.0
Kabs_10,uncertain,0.0001,10,200,0.0,0.0
Kabs_10,uniform,0.0001,10,200,0.0,0.0
Kabs_10,random,0.0001,10,400,0.0,0.0
Kabs_10,uncertain,0.0001,10,400,0.0,0.0
Kabs_10,uniform,0.0001,10,400,0.0,0.0
Kabs_10,random,0.0001,10,800,0.0,0.0
Kabs_10,uncertain,0.0001,10,800,0.0,0.0
Kabs_10,uniform,0.0001,10,800,0.0,0.0
Kabs_10,random,1e-05,0,200,0.0,0.0
Kabs_10,uncertain,1e-05,0,200,0.0,0.0
Kabs_10,uniform,1e-05,0,200,0.0,0.0
Kabs_10,random,1e-05,0,400,0.0,0.0
Kabs_10,uncertain,1e-05,0,400,0.0,0.0
Kabs_10,uniform,1e-05,0,400,0.0,0.0
Kabs_10,random,1e-05,0,800,0.0,0.0
Kabs_10,uncertain,1e-05,0,800,0.0,0.0
Kabs_10,uniform,1e-05,0,800,0.0,0.0
Kabs_10,random,1e-05,5,200,0.0,0.0
Kabs_10,uncertain,1e-05,5,200,0.0,0.0
Kabs_10,uniform,1e-05,5,200,0.0,0.0
Kabs_10,random,1e-05,5,400,0.0,0.0
Kabs_10,uncertain,1e-05,5,400,0.0,0.0
Kabs_10,uniform,1e-05,5,400,0.0,0.0
Kabs_10,random,1e-05,5,800,0.0,0.0
Kabs_10,uncertain,1e-05,5,800,0.0,0.0
Kabs_10,uniform,1e-05,5,800,0.0,0.0
Kabs_10,random,1e-05,10,200,0.0,0.0
Kabs_10,uncertain,1e-05,10,200,0.0,0.0
Kabs_10,uniform,1e-05,10,200,0.0,0.0
Kabs_10,random,1e-05,10,400,0.0,0.0
Kabs_10,uncertain,1e-05,10,400,0.0,0.0
Kabs_10,uniform,1e-05,10,400,0.0,0.0
Kabs_10,random,1e-05,10,800,0.0,0.0
Kabs_10,uncertain,1e-05,10,800,0.0,0.0
Kabs_10,uniform,1e-05,10,800,0.0,0.0
Kabs_100,random,0.001,0,200,0.0,0.0
Kabs_100,uncertain,0.001,0,200,0.0,0.0
Kabs_100,uniform,0.001,0,200,0.0,0.0
Kabs_100,random,0.001,0,400,0.0,0.0
Kabs_100,uncertain,0.001,0,400,0.0,0.0
Kabs_100,uniform,0.001,0,400,0.0,0.0
Kabs_100,random,0.001,0,800,0.0,0.0
Kabs_100,uncertain,0.001,0,800,0.0,0.0
Kabs_100,uniform,0.001,0,800,0.0,0.0
Kabs_100,random,0.001,5,200,0.0,0.0
Kabs_100,uncertain,0.001,5,200,0.0,0.0
Kabs_100,uniform,0.001,5,200,0.0,0.0
Kabs_100,random,0.001,5,400,0.0,0.0
Kabs_100,uncertain,0.001,5,400,0.0,0.0
Kabs_100,uniform,0.001,5,400,0.0,0.0
Kabs_100,random,0.001,5,800,0.0,0.0
Kabs_100,uncertain,0.001,5,800,0.0,0.0
Kabs_100,uniform,0.001,5,800,0.0,0.0
